lat,lon,price_per_m2,rooms
-34.6618237,-58.5088387,1127.2727272727273,2.0
-34.6522615,-58.5229825,1309.090909090909,2.0
-34.5598729,-58.443362,3066.6666666666665,1.0
-34.5598729,-58.443362,3000.0,3.0
-34.580503566,-58.4058744847,2234.0,1.0
-34.580503566,-58.4058744847,3521.428571428572,1.0
-34.6523561177,-58.5016239381,1707.142857142857,4.0
-34.580503566,-58.4058744847,3365.3846153846152,3.0
-34.590926,-58.4116653,2292.3728813559323,4.0
-34.635117947800005,-58.4739639408,1744.186046511628,2.0
-34.6217693287,-58.4221081951,1812.5,4.0
-34.571149600000005,-58.4232966,2181.818181818182,3.0
-34.6177194,-58.3620561,875.0,4.0
-34.60967479999999,-58.3986588,1702.127659574468,5.0
-34.636320899999994,-58.4107019,1091.2698412698412,6.0
-34.6222111,-58.43912829999999,2200.0,3.0
-34.6238943143,-58.4468606529,1705.0,2.0
-34.6209278,-58.44587360000001,2721.1111111111118,3.0
-34.6209278,-58.44587360000001,2750.3703703703704,3.0
-34.5639725,-58.456535,8333.333333333334,4.0
-34.6287865,-58.42778320000001,1542.857142857143,3.0
-34.553577600000004,-58.45551139999999,3460.0,2.0
-34.6187769485,-58.4026450688,1918.421052631579,1.0
-34.56910735,-58.40848979999999,2198.0,2.0
-34.6108622,-58.4117063,944.4444444444443,4.0
-34.6108622,-58.4117063,658.6021505376344,4.0
-34.6108622,-58.4117063,611.1111111111111,4.0
-34.6108622,-58.4117063,1600.0,4.0
-34.5626966465,-58.4601567114,3236.3636363636365,3.0
-34.6108622,-58.4117063,1088.235294117647,4.0
-34.579394,-58.445882,1976.190476190476,6.0
-34.6280255,-58.46624789999999,365.8333333333333,3.0
-34.617226445,-58.3959429368,1612.5,4.0
-34.620725,-58.438704,2509.803921568628,2.0
-34.603172,-58.399464,1661.9718309859154,3.0
-34.594304,-58.403685,2657.1428571428573,1.0
-34.65045,-58.382404,1025.6410256410256,5.0
-34.5994274,-58.4015856,1938.7755102040817,7.0
-34.585483,-58.428493,1312.5,4.0
-34.606296659,-58.3921889684,2864.0776699029125,1.0
-34.5976786,-58.4430195,1757.142857142857,1.0
-34.5972900112,-58.4476543572,1636.3636363636365,1.0
-34.56457657510001,-58.4372870022,3455.8823529411766,2.0
-34.5620844,-58.4566864,4210.526315789473,2.0
-34.5901808,-58.449152100000006,2187.5,1.0
-34.5621457,-58.449657,3437.5,4.0
-34.5976786,-58.4430195,1878.7878787878788,1.0
-34.565318066,-58.44175186020001,3548.3870967741937,6.0
-34.5652650561,-58.438232802,3447.753623188406,2.0
-34.5652650561,-58.438232802,3447.753623188406,2.0
-34.6255474,-58.4688765,1523.076923076923,3.0
-34.542750299999994,-58.46014520000001,3469.696969696969,2.0
-34.542750299999994,-58.46014520000001,3000.0,1.0
-34.5883487899,-58.3900529339,3246.0732984293195,5.0
-34.5640079,-58.45670429999999,2806.060606060606,1.0
-34.610434999999995,-58.443029,2816.455696202532,5.0
-34.56910735,-58.40848979999999,1941.1764705882356,4.0
-34.5888617,-58.41230720000001,3776.923076923077,1.0
-34.611463536900004,-58.3627451275,5045.871559633028,4.0
-34.6304059,-58.38275110000001,987.7777777777778,3.0
-34.6194333916,-58.3613734778,6035.353535353535,4.0
-34.5620844,-58.4566864,2656.25,4.0
-34.6572422,-58.5029706,1892.857142857143,1.0
-34.5955984,-58.4127129,3636.363636363637,1.0
-34.5664787494,-58.4340748222,2514.285714285714,4.0
-34.5769639,-58.4514688,1888.888888888889,4.0
-34.56178060000001,-58.4928894,2106.299212598425,4.0
-34.5950254,-58.4381255,2541.6666666666665,4.0
-34.5837821,-58.40422750000001,2648.6486486486488,3.0
-34.5765042465,-58.4314684478,2872.340425531915,2.0
-34.555257,-58.492172,2500.0,1.0
-34.555257,-58.492172,2549.295774647888,3.0
-34.609641,-58.385127,23500.0,1.0
-34.580503566,-58.4058744847,5032.679738562091,4.0
-34.645897,-58.420619,18500.0,7.0
-34.6108622,-58.4117063,472.3346828609986,4.0
-34.6108622,-58.4117063,1531.25,4.0
-34.6108622,-58.4117063,3440.0,4.0
-34.6108622,-58.4117063,3440.0,4.0
-34.6108622,-58.4117063,1523.809523809524,4.0
-34.588369,-58.483862,2521.428571428572,1.0
-34.631283,-58.3724,2304.6875,4.0
-34.603593700000005,-58.4654251,2283.555555555556,1.0
-34.603593700000005,-58.4654251,2312.777777777778,1.0
-34.603593700000005,-58.4654251,2342.4444444444443,1.0
-34.603593700000005,-58.4654251,2372.074074074074,1.0
-34.603593700000005,-58.4654251,2326.625,1.0
-34.603593700000005,-58.4654251,2356.625,1.0
-34.603593700000005,-58.4654251,2386.625,1.0
-34.603593700000005,-58.4654251,2296.4074074074074,1.0
-34.603593700000005,-58.4654251,2326.5185185185187,1.0
-34.603593700000005,-58.4654251,2356.5925925925926,1.0
-34.603593700000005,-58.4654251,2386.4814814814813,1.0
-34.603593700000005,-58.4654251,2416.5925925925926,1.0
-34.603593700000005,-58.4654251,2261.4848484848485,1.0
-34.603593700000005,-58.4654251,2291.2727272727275,1.0
-34.603593700000005,-58.4654251,2320.909090909091,1.0
-34.603593700000005,-58.4654251,2356.5714285714284,1.0
-34.603593700000005,-58.4654251,2386.6428571428573,1.0
-34.603593700000005,-58.4654251,2416.714285714286,1.0
-34.5959674,-58.4097736,4212.121212121212,2.0
-34.6173252463,-58.4492611885,2350.0,2.0
-34.6064821857,-58.45840488050001,2303.5714285714284,1.0
-34.617915100000005,-58.3617661,6481.481481481482,2.0
-34.5924699,-58.4944042,2500.0,2.0
-34.5807783,-58.5058262,1706.896551724138,3.0
-34.609806299999995,-58.4547167,2166.6666666666665,1.0
-34.561509,-58.4688221,2461.538461538461,1.0
-34.5902428799,-58.4364018732,2557.1428571428573,3.0
-34.609693799999995,-58.41981850000001,2727.2727272727275,4.0
-34.6040507,-58.4324956,1775.0,5.0
-34.6040507,-58.4324956,1775.0,5.0
-34.617915100000005,-58.3617661,6481.481481481482,2.0
-34.617915100000005,-58.3617661,6111.111111111111,2.0
-34.626675382399995,-58.37266568890001,2642.829268292683,1.0
-34.6176909,-58.4228255,2142.8571428571427,3.0
-34.6130871,-58.38135989999999,2000.0,2.0
-34.590333,-58.38647710000001,2936.1702127659573,5.0
-34.633832700000006,-58.4926895,1400.0,3.0
-34.57478820000001,-58.46376850000001,3466.6666666666665,3.0
-34.5910354,-58.40062320000001,2700.0,4.0
-34.6182635,-58.46745799999999,2250.0,1.0
-34.6182635,-58.46745799999999,1000.0,3.0
-34.584641,-58.411582,2170.8571428571427,5.0
-34.58489,-58.419,2209.3023255813955,2.0
-34.562043,-58.461685,2659.090909090909,2.0
-34.572645,-58.482177,2371.134020618557,3.0
-34.58755,-58.51061600000001,2629.6296296296296,2.0
-34.596335,-58.409886,2049.1803278688526,3.0
-34.633761,-58.360234,1686.7469879518071,3.0
-34.6108622,-58.4117063,1531.25,4.0
-34.6108622,-58.4117063,1869.5652173913045,4.0
-34.6108622,-58.4117063,703.7037037037037,4.0
-34.6108622,-58.4117063,621.5722120658136,4.0
-34.6108622,-58.4117063,476.1904761904762,4.0
-34.6108622,-58.4117063,705.3469852104664,4.0
-34.624470200000005,-58.37117420000001,2186.6666666666665,3.0
-34.6211839,-58.37311629999999,2658.227848101266,3.0
-34.650603600000004,-58.49614570000001,751.5337423312883,4.0
-34.6209278,-58.44587360000001,2339.285714285714,1.0
-34.6569204,-58.4897843,1100.0,3.0
-34.646054799999995,-58.4911219,837.696335078534,1.0
-34.6344961,-58.36313370000001,1606.060606060606,1.0
-34.56150820000001,-58.4688228,2057.692307692308,4.0
-34.571149600000005,-58.4232966,2924.5283018867926,3.0
-34.5955984,-58.4127129,3883.720930232558,2.0
-34.6211839,-58.37311629999999,1709.090909090909,3.0
-34.594538,-58.3962794,2857.1428571428573,1.0
-34.6344961,-58.36313370000001,1709.090909090909,3.0
-34.634537,-58.3591752,1709.090909090909,3.0
-34.5895459,-58.39736360000001,3750.0,1.0
-34.5955984,-58.4127129,3513.5135135135133,1.0
-34.5955984,-58.4127129,3852.459016393442,2.0
-34.5927419,-58.406147,3604.6511627906975,1.0
-34.5927419,-58.406147,3266.6666666666665,1.0
-34.5978120648,-58.4255965334,2065.5263157894738,1.0
-34.5849243283,-58.4522777509,3161.2903225806454,2.0
-34.5666711,-58.4720061,2923.076923076923,2.0
-34.5666711,-58.4720061,2923.076923076923,3.0
-34.5666225,-58.4721291,2923.076923076923,3.0
-34.5666643,-58.471989,2923.076923076923,2.0
